Customer_ID,Gender,Age,Region,Product_Category,Units_Purchased,Price_Per_Unit,Purchase_Date,Total_Amount
CUST1089,Male,50.0,,Books,3,319.98,2024-11-14,959.94
CUST1127,male,18.0,South,Beauty,7,330.27,2024-01-23,2311.89
CUST1046,Female,19.0,North,Furniture,9,,2024-10-17,
CUST1012,,68.0,EAST,Electronics,7,89.41,2024-08-23,625.87
CUST1053,male,50.0,West,Clothing,3,138.36,2024-05-06,415.08
CUST1129,male,20.0,South ,Furniture,3,380.13,2024-07-05,1140.39
CUST1116,Male,60.0,EAST,Books,-5,263.51,2024-04-23,1317.55
CUST1067,Female,23.0,South,Furniture,3,297.49,2024-10-01,892.47
CUST1038,M,43.0,North,Beauty,7,386.63,2024-08-10,2706.41
CUST1015,Female,43.0,South ,Clothing,5,119.29,2024-01-24,596.45
CUST1149,male,38.0,West,Electronics,9,276.25,2024-10-12,2486.25
CUST1042,,49.0,north,Furniture,4,454.25,2024-03-19,1817.0
CUST1091,Female,68.0,north,Beauty,6,453.52,2024-03-08,2721.12
CUST1061,male,18.0,West,Furniture,3,341.95,2024-08-30,1025.85
CUST1025,Male,42.0,EAST,Sports,9,151.66,2024-07-24,1364.94
CUST1086,Female,21.0,South ,Sports,1,249.48,2024-05-02,
CUST1085,female,33.0,north,Sports,9,92.08,2024-05-13,828.72
CUST1087,M,65.0,West,Grocery,4,186.4,2024-12-09,745.6
CUST1146,F,27.0,West,Toys,2,134.04,2024-05-04,268.08
CUST1130,F,46.0,,Sports,5,51.61,2024-11-15,258.05
CUST1066,F,28.0,South ,Sports,1,79.61,2024-02-25,79.61
CUST1133,F,50.0,South ,Beauty,5,202.26,2024-10-10,1011.3
CUST1017,Female,25.0,EAST,Clothing,3,455.11,2024-07-13,682.66
CUST1029,M,68.0,South,Furniture,1,357.11,2024-10-14,357.11
CUST1033,Male,29.0,South,Grocery,2,52.23,2024-12-14,104.46
CUST1041,Male,56.0,EAST,Beauty,1,160.61,2024-11-23,160.61
CUST1071,female,56.0,north,Electronics,2,419.67,2024-02-17,839.34
CUST1109,M,41.0,South,Furniture,7,253.25,2024-12-07,1772.75
CUST1107,male,65.0,South,Toys,7,150.33,2024-03-06,1052.31
CUST1144,Female,67.0,West,Clothing,3,171.59,2024-08-21,514.77
CUST1118,M,23.0,EAST,Furniture,4,208.62,2024-04-24,834.48
CUST1047,Male,,North,Books,4,446.82,2024-02-05,1787.28
CUST1124,Male,26.0,north,Toys,5,33.81,2024-06-25,169.05
CUST1050,male,44.0,EAST,Toys,9,409.92,2024-04-18,3689.28
CUST1023,female,57.0,north,Furniture,5,197.4,2024-12-16,987.0
CUST1139,F,45.0,West,Furniture,4,289.86,2024-09-18,1159.44
CUST1103,M,57.0,South,Books,8,108.41,2024-10-09,867.28
CUST1122,male,36.0,East,Electronics,7,129.18,2024-02-29,904.26
CUST1037,female,64.0,North,Beauty,3,381.59,2024-11-24,1144.77
CUST1006,,19.0,South ,Toys,8,417.06,2024-04-22,3336.48
CUST1018,M,53.0,West,Sports,2,332.95,2024-03-24,665.9
CUST1102,Male,48.0,East,Grocery,6,349.53,2024-11-22,2097.18
CUST1121,M,47.0,,Toys,3,398.62,2024-12-13,1195.86
CUST1081,Male,57.0,EAST,Grocery,4,292.44,2024-02-05,1169.76
CUST1140,F,67.0,EAST,Grocery,3,323.43,2024-12-03,970.29
CUST1126,male,65.0,north,Clothing,9,331.8,2024-07-16,
CUST1063,female,21.0,West,Sports,7,382.0,2024-08-04,2674.0
CUST1052,M,25.0,West,Sports,9,244.99,2024-08-12,2204.91
CUST1142,Female,29.0,South ,Beauty,3,411.11,2024-04-25,1233.33
CUST1119,Male,52.0,South ,Furniture,7,73.48,2024-07-23,514.36
CUST1075,M,66.0,EAST,Books,2,498.15,2024-05-26,996.3
CUST1030,male,52.0,East,Toys,1,304.95,2024-10-25,304.95
CUST1004,F,28.0,North,Electronics,8,170.19,2024-02-17,1361.52
CUST1040,male,43.0,EAST,Grocery,3,20.56,2024-09-16,61.68
CUST1083,Male,46.0,north,Furniture,2,84.6,23/10/2024,169.2
CUST1014,male,31.0,East,Sports,2,195.78,2024-10-22,391.56
CUST1101,female,20.0,West,Beauty,2,280.62,2024-01-23,561.24
CUST1077,Female,26.0,East,Furniture,9,177.86,2024-01-30,1600.74
CUST1064,F,34.0,West,Electronics,6,187.05,2024-12-10,1122.3
CUST1055,male,41.0,north,Furniture,9,204.9,2024-10-28,1844.1
CUST1078,male,65.0,South ,Electronics,3,428.88,2024-06-09,1286.64
CUST1027,female,26.0,East,Furniture,8,200.47,2024-12-01,1603.76
CUST1009,,39.0,South,Furniture,9,149.16,2024-06-21,1342.44
CUST1044,male,60.0,,Sports,4,471.71,2024-09-07,1886.84
CUST1095,male,66.0,East,Clothing,1,497.3,2024-03-09,497.3
CUST1117,Female,61.0,EAST,Books,5,231.35,2024-06-28,1156.75
CUST1099,female,50.0,South ,Beauty,4,150.75,2024-09-15,603.0
CUST1060,F,40.0,South,Grocery,5,175.81,2024-10-19,879.05
CUST1016,female,45.0,South,Beauty,7,306.95,2024-02-10,2148.65
CUST1054,Female,41.0,North,Sports,6,113.29,2024-01-11,679.74
CUST1021,female,35.0,South,Furniture,2,200.6,2024-03-24,401.2
CUST1015,Female,43.0,South ,Clothing,5,119.29,2024-01-24,596.45
CUST1080,male,66.0,South,Electronics,8,,2024-09-17,3149.92
CUST1123,M,43.0,South,Beauty,5,45.03,2024-01-20,225.15
CUST1013,male,56.0,North,Toys,2,474.7,2024-02-10,949.4
CUST1114,female,39.0,EAST,Furniture,6,128.87,2024-05-16,773.22
CUST1048,male,28.0,EAST,Grocery,7,448.57,2024-03-06,
CUST1059,male,,South,Beauty,2,253.83,2024-12-08,507.66
CUST1138,F,33.0,EAST,Sports,7,472.4,2024-08-26,3306.8
CUST1096,M,47.0,North,Clothing,5,442.33,2024-10-10,2211.65
CUST1098,Female,66.0,South ,Sports,5,288.28,2024-04-14,1441.4
CUST1019,M,19.0,East,Furniture,6,107.93,2024-12-09,
