Survey_ID,Customer_ID,Store_Location,Visit_Date,Purchase_Amount,Wait_Time_Min,Staff_Rating,Product_Rating,Cleanliness_Rating,Recommend,Total_Rating
SUR5117,CUST3117,downtown,2024-02-16,391.88,23.9,3.0,4.0,2.0,no,3.0
SUR5137,CUST3137,UPTOWN,2024-11-28,103.03,4.1,5.0,,2.0,N,3.33
SUR5131,CUST3131,Riverside,04/11/2024,433.29,15.4,4.0,3.0,4.0,no,3.67
SUR5066,CUST3066,UPTOWN,2024-04-17,521.35,2.5,5.0,3.0,2.0,Y,3.33
SUR5089,CUST3089,Uptown,2024-10-20,268.29,1.8,4.0,5.0,2.0,yes,3.67
SUR5010,CUST3010,Downtown,2024-11-07,441.63,12.9,3.0,3.0,2.0,N,2.67
SUR5084,CUST3084,Downtown,2024-01-13,461.32,2.6,3.0,5.0,3.0,Yes,3.67
SUR5016,CUST3016,Mall Plaza ,2024-06-13,414.79,4.2,5.0,4.0,4.0,No,4.33
SUR5134,CUST3134,Mall Plaza,2024-01-16,390.16,,5.0,3.0,5.0,no,
SUR5143,CUST3143,Downtown,2024-05-27,390.61,19.6,5.0,3.0,,Yes,3.67
SUR5062,CUST3062,Riverside,2024-01-04,,6.6,,1.0,4.0,No,3.0
SUR5114,CUST3114,UPTOWN,2024-05-01,367.06,15.7,4.0,5.0,3.0,Yes,4.0
SUR5074,CUST3074,Mall Plaza,2024-06-19,234.11,11.4,5.0,4.0,3.0,Yes,4.0
SUR5119,CUST3119,Uptown,2024-07-14,526.54,52.0,5.0,5.0,2.0,Yes,4.0
SUR5138,CUST3138,downtown,2024-10-29,171.28,10.3,3.0,5.0,5.0,yes,4.33
SUR5042,CUST3042,Riverside,2024-08-04,109.11,4.8,5.0,4.0,4.0,Y,4.33
SUR5064,CUST3064,UPTOWN,2024-03-11,549.5,5.3,5.0,5.0,5.0,no,5.0
SUR5101,CUST3101,Uptown,2024-04-06,408.77,7.0,5.0,1.0,3.0,No,3.0
SUR5031,CUST3031,downtown,2024-08-20,436.85,3.5,5.0,2.0,5.0,yes,4.0
SUR5057,CUST3057,Downtown,2024-10-20,525.9,1.3,3.0,4.0,4.0,Yes,3.67
SUR5094,CUST3094,UPTOWN,06/04/2024,438.05,2.6,,1.0,3.0,N,2.33
SUR5146,CUST3146,Uptown,2024-09-18,79.0,23.9,3.0,4.0,4.0,N,
SUR5003,CUST3003,Mall Plaza ,2024-09-29,579.37,5.0,2.0,4.0,3.0,Y,3.0
SUR5023,CUST3023,Mall Plaza ,2024-10-13,485.62,3.5,3.0,3.0,5.0,Yes,3.67
SUR5053,CUST3053,Mall Plaza ,2024-09-18,22.37,8.6,6.0,5.0,4.0,Yes,3.33
SUR5013,CUST3013,Mall Plaza,2024-03-01,442.25,5.0,3.0,4.0,1.0,Yes,
SUR5012,CUST3012,Riverside,2024-10-11,241.2,8.7,3.0,4.0,2.0,N,3.0
SUR5111,CUST3111,Downtown,2024-03-24,281.61,5.2,1.0,4.0,3.0,No,2.67
SUR5132,CUST3132,UPTOWN,2024-09-13,456.34,2.5,3.0,4.0,2.0,yes,3.0
SUR5017,CUST3017,downtown,19/05/2024,460.36,2.5,4.0,5.0,4.0,yes,4.33
SUR5147,CUST3147,Riverside,2024-05-10,462.01,10.6,5.0,3.0,4.0,yes,4.0
SUR5001,CUST3001,downtown,2024-03-26,156.62,5.8,4.0,3.0,5.0,N,4.0
SUR5052,CUST3052,UPTOWN,2024-07-07,391.56,35.2,5.0,5.0,5.0,Y,5.0
SUR5128,CUST3128,UPTOWN,2024-01-08,594.49,24.7,3.0,5.0,4.0,yes,4.0
SUR5059,CUST3059,downtown,2024-02-06,,6.7,1.0,4.0,,Yes,3.33
SUR5030,CUST3030,UPTOWN,2024-07-02,238.19,1.4,1.0,3.0,1.0,Y,1.67
SUR5112,CUST3112,Uptown,2024-06-17,368.5,2.8,3.0,3.0,3.0,no,3.0
SUR5145,CUST3145,Riverside,2024-06-13,292.18,7.8,2.0,3.0,4.0,Yes,3.0
SUR5131,CUST3131,Riverside,2024-11-04,433.29,15.4,4.0,3.0,4.0,no,3.67
SUR5037,CUST3037,Mall Plaza ,2024-06-10,477.46,2.1,4.0,4.0,,N,4.0
SUR5050,CUST3050,,2024-08-07,228.54,8.4,5.0,5.0,3.0,no,4.33
SUR5063,CUST3063,Uptown,2024-01-12,467.94,16.7,5.0,5.0,5.0,Yes,5.0
SUR5106,CUST3106,Mall Plaza ,2024-12-27,79.49,11.5,5.0,,5.0,no,4.33
SUR5007,CUST3007,Riverside,10/12/2024,582.47,14.8,4.0,3.0,4.0,N,3.67
SUR5109,CUST3109,Riverside,2024-08-13,210.29,1.4,4.0,2.0,3.0,No,3.0
SUR5087,CUST3087,Riverside,2024-11-10,391.83,1.1,5.0,5.0,5.0,Yes,5.0
SUR5103,CUST3103,Riverside,2024-05-24,214.88,3.1,4.0,5.0,4.0,N,4.33
SUR5124,CUST3124,Riverside,2024-11-01,546.8,3.2,4.0,2.0,4.0,no,3.33
SUR5036,CUST3036,downtown,2024-11-20,262.12,16.5,1.0,2.0,4.0,no,2.33
SUR5070,CUST3070,Downtown,2024-12-09,168.76,16.7,4.0,2.0,5.0,Yes,3.67
SUR5047,CUST3047,Downtown,04/04/2024,194.61,4.7,2.0,4.0,5.0,N,3.67
SUR5086,CUST3086,Riverside,2024-05-09,538.28,5.5,,5.0,4.0,No,4.33
SUR5067,CUST3067,Mall Plaza,2024-12-12,40.98,15.6,5.0,2.0,1.0,Yes,2.67
SUR5116,CUST3116,Uptown,2024-03-16,116.51,8.0,4.0,1.0,5.0,Y,3.33
SUR5085,CUST3085,Mall Plaza,2024-06-21,423.05,3.4,4.0,5.0,3.0,No,4.0
SUR5125,CUST3125,Mall Plaza ,2024-04-30,205.47,3.8,2.0,3.0,5.0,no,3.33
SUR5043,CUST3043,Uptown,2024-05-13,561.37,7.1,5.0,4.0,1.0,no,3.33
SUR5021,CUST3021,Mall Plaza ,2024-02-26,239.33,9.8,4.0,4.0,5.0,Yes,4.33
SUR5055,CUST3055,Downtown,2024-04-26,395.83,-13.7,4.0,5.0,5.0,no,4.67
SUR5022,CUST3022,Riverside,2024-11-17,581.11,4.7,4.0,5.0,4.0,N,4.33
SUR5027,CUST3027,Riverside,2024-04-13,462.75,3.4,2.0,5.0,3.0,No,3.33
SUR5061,CUST3061,Uptown,2024-09-27,379.02,10.5,4.0,5.0,4.0,N,4.33
SUR5078,CUST3078,Mall Plaza,2024-03-06,312.01,19.3,5.0,5.0,4.0,yes,4.67
SUR5122,CUST3122,UPTOWN,2024-06-08,431.43,1.9,5.0,5.0,5.0,No,5.0
